Monster,normal,Oeuf de Monstre,terre,guerrier,Guerrier caché dans un oeuf et qui attaque ses ennemis en lançant des coquilles d'oeuf.,600,900,3
Monster,normal,Oeuf de Monstre,terre,guerrier,Guerrier caché dans un oeuf et qui attaque ses ennemis en lançant des coquilles d'oeuf.,600,900,3
Monster,normal,Oeuf de Monstre,terre,guerrier,Guerrier caché dans un oeuf et qui attaque ses ennemis en lançant des coquilles d'oeuf.,600,900,3
Monster,normal,Ame Hinotama,feu,pyro,Créature incandescente qui détruit tout ce qu'elle trouve sur son passage.,600,500,2
Monster,normal,Ame Hinotama,feu,pyro,Créature incandescente qui détruit tout ce qu'elle trouve sur son passage.,600,500,2
Monster,normal,Ame Hinotama,feu,pyro,Créature incandescente qui détruit tout ce qu'elle trouve sur son passage.,600,500,2
Monster,normal,Croc Argente,terre,bete,Un loup des neiges magnifique mais terriblement violent au combat.,1200,800,3
Monster,normal,Croc Argente,terre,bete,Un loup des neiges magnifique mais terriblement violent au combat.,1200,800,3
Monster,normal,Croc Argente,terre,bete,Un loup des neiges magnifique mais terriblement violent au combat.,1200,800,3
Monster,normal,Geant Hitotsu-Me,terre,bete-guerrier,Cyclope dont les bras puissants ont pour mission d'asséner des coups impitoyables.,1200,1000,4
Monster,effect,Hane-Hane,terre,bete,FLIP: Sélectionnez 1 Carte Monstre sur le Terrain (quelle que soit sa position) et renvoyez-la dans la main de son propriétaire.,450,500,2
Monster,effect,Hane-Hane,terre,bete,FLIP: Sélectionnez 1 Carte Monstre sur le Terrain (quelle que soit sa position) et renvoyez-la dans la main de son propriétaire.,450,500,2
Monster,effect,Hane-Hane,terre,bete,FLIP: Sélectionnez 1 Carte Monstre sur le Terrain (quelle que soit sa position) et renvoyez-la dans la main de son propriétaire.,450,500,2
Monster,normal,Gaia le Chevalier Implacable,terre,guerrier,Chevalier dont le destrier voyage plus vite que le vent. Sa charge de bataille est une force à ne pas sous-estimer.,2300,2100,7
Monster,normal,Gaia le Chevalier Implacable,terre,guerrier,Chevalier dont le destrier voyage plus vite que le vent. Sa charge de bataille est une force à ne pas sous-estimer.,2300,2100,7
Monster,normal,Nemuriko,tenebre,magicien,Créature infantile qui commande au démon du sommeil de plonger ses ennemis dans le sommeil éternel.,800,700,3
Monster,normal,Nemuriko,tenebre,magicien,Créature infantile qui commande au démon du sommeil de plonger ses ennemis dans le sommeil éternel.,800,700,3
